Macrotrends Data Download

Casablanca, Morocco Metro Area Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,625000
1951-12-31,653000,4.48
1952-12-31,682000,4.44
1953-12-31,713000,4.55
1954-12-31,744000,4.35
1955-12-31,778000,4.57
1956-12-31,812000,4.37
1957-12-31,848000,4.43
1958-12-31,886000,4.48
1959-12-31,926000,4.51
1960-12-31,967000,4.43
1961-12-31,1010000,4.45
1962-12-31,1056000,4.55
1963-12-31,1104000,4.55
1964-12-31,1154000,4.53
1965-12-31,1206000,4.51
1966-12-31,1261000,4.56
1967-12-31,1318000,4.52
1968-12-31,1378000,4.55
1969-12-31,1440000,4.5
1970-12-31,1505000,4.51
1971-12-31,1573000,4.52
1972-12-31,1626000,3.37
1973-12-31,1680000,3.32
1974-12-31,1735000,3.27
1975-12-31,1793000,3.34
1976-12-31,1852000,3.29
1977-12-31,1913000,3.29
1978-12-31,1976000,3.29
1979-12-31,2042000,3.34
1980-12-31,2109000,3.28
1981-12-31,2179000,3.32
1982-12-31,2251000,3.3
1983-12-31,2304000,2.35
1984-12-31,2355000,2.21
1985-12-31,2406000,2.17
1986-12-31,2459000,2.2
1987-12-31,2513000,2.2
1988-12-31,2568000,2.19
1989-12-31,2624000,2.18
1990-12-31,2682000,2.21
1991-12-31,2741000,2.2
1992-12-31,2801000,2.19
1993-12-31,2862000,2.18
1994-12-31,2925000,2.2
1995-12-31,2963000,1.3
1996-12-31,2997000,1.15
1997-12-31,3031000,1.13
1998-12-31,3065000,1.12
1999-12-31,3099000,1.11
2000-12-31,3134000,1.13
2001-12-31,3170000,1.15
2002-12-31,3205000,1.1
2003-12-31,3242000,1.15
2004-12-31,3278000,1.11
2005-12-31,3307000,0.88
2006-12-31,3335000,0.85
2007-12-31,3362000,0.81
2008-12-31,3391000,0.86
2009-12-31,3419000,0.83
2010-12-31,3447000,0.82
2011-12-31,3476000,0.84
2012-12-31,3505000,0.83
2013-12-31,3534000,0.83
2014-12-31,3563000,0.82
2015-12-31,3593000,0.84
2016-12-31,3623000,0.83
2017-12-31,3653000,0.83
2018-12-31,3684000,0.85
2019-12-31,3716000,0.87
2020-12-31,3752000,0.97
2021-12-31,3794000,1.12
2022-12-31,3840000,1.21
2023-12-31,3893000,1.38
2024-12-31,3950000,1.46
2025-12-31,4012000,1.57
2026-12-31,4077000,1.62
2027-12-31,4145000,1.67
2028-12-31,4213000,1.64
2029-12-31,4281000,1.61
2030-12-31,4349000,1.59
2031-12-31,4417000,1.56
2032-12-31,4483000,1.49
2033-12-31,4548000,1.45
2034-12-31,4612000,1.41
2035-12-31,4675000,1.37
